amfi_code,cagr_1yr_pct,cagr_3yr_pct,cagr_5yr_pct,volatility_pct,sharpe_ratio,sortino_ratio,max_drawdown_pct
100016,-2.22,1.29,2.32,14.55,-0.2,-0.35,-24.73
100025,3.7,3.92,3.91,3.91,-0.57,-0.94,-4.31
100033,53.23,32.44,26.07,18.94,1.09,1.83,-16.22
101206,47.92,28.97,20.44,14.57,1.03,1.8,-11.29
101207,-23.99,-4.15,6.95,25.8,0.16,0.28,-35.45
101208,7.24,6.32,5.71,0.51,-0.82,-1.68,-0.16
102885,20.21,19.67,15.88,12.84,0.82,1.44,-10.86
102886,-16.8,-0.77,1.03,18.13,-0.21,-0.35,-28.0
102887,13.58,25.56,14.68,15.76,0.62,1.09,-21.54
118632,33.98,22.65,20.88,14.15,1.08,1.85,-17.41
118633,25.54,21.09,14.19,14.0,0.65,1.15,-18.63
118634,15.81,8.01,14.27,25.24,0.45,0.75,-23.34
118635,22.49,20.01,13.91,12.98,0.66,1.14,-11.65
118636,10.45,4.06,4.66,3.99,-0.36,-0.61,-8.32
119092,1.61,0.53,5.58,13.95,0.03,0.05,-14.4
119093,19.77,20.82,6.92,13.98,0.13,0.22,-21.75
119094,22.26,35.11,24.45,19.41,1.0,1.7,-20.96
119095,-42.8,-11.71,1.34,25.07,-0.08,-0.13,-51.68
119120,5.52,5.84,5.16,3.97,-0.23,-0.38,-4.33
119551,60.44,30.46,22.38,13.74,1.21,2.14,-15.01
119552,5.71,16.27,18.71,13.94,0.95,1.61,-11.8
119598,82.78,26.67,28.03,25.14,0.95,1.68,-28.71
119599,13.95,-1.34,1.81,24.95,-0.06,-0.09,-52.57
120503,8.49,13.98,16.36,13.88,0.8,1.34,-13.9
120504,13.06,32.49,20.23,14.36,1.03,1.81,-12.59
120505,29.6,31.78,28.38,19.29,1.18,2.03,-18.19
120506,41.82,18.42,14.89,15.23,0.65,1.1,-19.83
120507,7.43,7.39,6.34,0.49,0.5,1.05,-0.1
120841,16.84,17.27,11.82,13.46,0.49,0.86,-17.57
120842,22.5,7.76,5.87,17.89,0.08,0.12,-24.0
120843,26.66,29.58,26.74,15.89,1.31,2.36,-12.97
120844,7.12,6.7,6.06,0.51,-0.09,-0.19,-0.12
125497,28.68,18.43,16.56,14.67,0.78,1.33,-15.2
125498,15.44,11.25,9.88,18.35,0.3,0.51,-21.12
148567,20.36,34.0,26.8,14.19,1.45,2.39,-11.27
148568,14.27,14.75,19.57,15.43,0.93,1.63,-15.27
148569,39.75,29.18,27.63,17.67,1.23,2.15,-16.4
149322,18.11,18.04,11.7,14.35,0.46,0.76,-14.84
149323,21.48,26.87,25.61,17.75,1.13,1.88,-17.25
149324,65.14,27.0,27.92,24.84,0.95,1.62,-31.17
