amfi_code,scheme_name,fund_house,category,return_3yr_pct,cagr_1yr_pct,cagr_3yr_pct,cagr_5yr_pct,volatility_pct,sharpe_ratio_y,sortino_ratio_y,alpha,beta,expense_ratio_pct,max_drawdown_pct_y,fund_score,tracking_error_pct,var_95_pct,cvar_95_pct,risk_bucket
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Small Cap,23.14,13.95,-1.34,1.81,24.95,0.93,1.67,1.13,1.04,0.72,-24.78,72.75,27.71,-2.69,-3.24,High Risk
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Flexi Cap,15.65,26.66,29.58,26.74,15.89,0.98,1.57,1.85,0.95,1.45,-19.5,71.5,20.64,-1.45,-1.84,Moderate Risk
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Mid Cap,18.23,22.5,7.76,5.87,17.89,0.96,1.27,1.91,1.0,1.56,-21.92,70.5,21.92,-1.82,-2.27,Moderate Risk
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Small Cap,22.38,-23.99,-4.15,6.95,25.8,0.9,1.47,1.84,0.97,1.53,-23.61,68.25,29.21,-2.6,-3.25,High Risk
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Small Cap,23.39,82.78,26.67,28.03,25.14,0.94,1.35,1.23,0.89,1.43,-13.35,64.38,28.39,-2.45,-3.06,High Risk
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Large Cap,14.81,20.36,34.0,26.8,14.19,1.06,1.66,1.62,0.96,1.46,-17.07,63.94,18.97,-1.36,-1.76,Moderate Risk
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Short Duration,7.37,3.7,3.92,3.91,3.91,1.84,2.79,1.98,0.44,0.56,-6.01,63.0,13.45,-0.38,-0.5,Low Risk
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Liquid,7.68,7.43,7.39,6.34,0.49,7.68,10.37,1.85,0.26,0.74,-2.62,61.75,12.9,-0.02,-0.04,Low Risk
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Mid Cap,18.08,29.6,31.78,28.38,19.29,0.95,1.45,0.89,1.0,1.36,-21.84,61.0,23.2,-1.89,-2.43,Moderate Risk
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Large Cap,14.41,13.06,32.49,20.23,14.36,1.03,1.27,0.88,1.03,0.8,-26.59,59.62,19.16,-1.37,-1.75,Moderate Risk
