amfi_code,var_95_pct,cvar_95_pct,risk_bucket
100016,-1.44,-1.81,Moderate Risk
100025,-0.38,-0.5,Low Risk
100033,-1.9,-2.35,Moderate Risk
101206,-1.33,-1.74,Moderate Risk
101207,-2.6,-3.25,High Risk
101208,-0.03,-0.04,Low Risk
102885,-1.26,-1.55,Moderate Risk
102886,-1.92,-2.33,Moderate Risk
102887,-1.52,-1.94,Moderate Risk
118632,-1.4,-1.76,Moderate Risk
118633,-1.34,-1.66,Moderate Risk
118634,-2.54,-3.23,High Risk
118635,-1.26,-1.62,Moderate Risk
118636,-0.38,-0.49,Low Risk
119092,-1.37,-1.73,Moderate Risk
119093,-1.42,-1.75,Moderate Risk
119094,-1.85,-2.43,Moderate Risk
119095,-2.62,-3.17,High Risk
119120,-0.39,-0.5,Low Risk
119551,-1.28,-1.64,Moderate Risk
119552,-1.35,-1.73,Moderate Risk
119598,-2.45,-3.06,High Risk
119599,-2.69,-3.24,High Risk
120503,-1.36,-1.75,Moderate Risk
120504,-1.37,-1.75,Moderate Risk
120505,-1.89,-2.43,Moderate Risk
120506,-1.44,-1.94,Moderate Risk
120507,-0.02,-0.04,Low Risk
120841,-1.31,-1.64,Moderate Risk
120842,-1.82,-2.27,Moderate Risk
120843,-1.45,-1.84,Moderate Risk
120844,-0.03,-0.04,Low Risk
125497,-1.46,-1.83,Moderate Risk
125498,-1.84,-2.31,Moderate Risk
148567,-1.36,-1.76,Moderate Risk
148568,-1.47,-1.88,Moderate Risk
148569,-1.71,-2.13,Moderate Risk
149322,-1.45,-1.84,Moderate Risk
149323,-1.79,-2.26,Moderate Risk
149324,-2.35,-3.1,High Risk
